2026-03-10 18:17:50.909 | INFO     | graph:node_generate_response:534 | [523c933d-a51c-4275-b494-d241acd58cc6] Node: Generate Response (introduction)
2026-03-10 18:17:50.909 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-03-10 18:17:50.910 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-03-10 18:17:50.910 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-03-10 18:17:50.911 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: async_generator
2026-03-10 18:17:53.993 | ERROR    | stream.question_generators:ask_introduction_question_stream:149 | answer_question_stream LLM error | error=Your default credentials were not found. To set up Application Default Credentials, see https://cloud.google.com/docs/authentication/external/set-up-adc for more information., duration=3.085s
2026-03-10 18:17:53.994 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-03-10 18:17:53.994 | INFO     | graph:stream_generator_to_callback:524 | [523c933d-a51c-4275-b494-d241acd58cc6] Stream finished in 3.086s for introduction
2026-03-10 18:17:53.994 | INFO     | graph:node_generate_response:661 | [523c933d-a51c-4275-b494-d241acd58cc6] Node: Generate Response finished in 3.086s
2026-03-10 18:17:53.995 | INFO     | graph:node_generate_question:675 | [523c933d-a51c-4275-b494-d241acd58cc6] Node: Generate Question
2026-03-10 18:17:53.995 | INFO     | graph:node_finalize:1069 | [523c933d-a51c-4275-b494-d241acd58cc6] Node: Finalize
